Device: cuda
--> Splitting data using NTU X-Sub protocol...

=== Dataset Summary ===
Total folders: 10
Train files: 17732 | Val files: 8202
========================

--> No valid checkpoint found or RESUME_PATH is None. Training from scratch.
Starting training for 400 epochs...
Ep 213| LR: 4.88e-04 | Train Loss: 1.2763 | Train Acc: 89.03% | Val Acc: 85.16%
Ep 214| LR: 4.83e-04 | Train Loss: 1.2903 | Train Acc: 88.78% | Val Acc: 85.09%
Ep 215| LR: 4.79e-04 | Train Loss: 1.2602 | Train Acc: 89.54% | Val Acc: 85.47%
Ep 216| LR: 4.75e-04 | Train Loss: 1.3174 | Train Acc: 87.84% | Val Acc: 84.81%
Ep 217| LR: 4.71e-04 | Train Loss: 1.2488 | Train Acc: 90.41% | Val Acc: 85.83%
Ep 218| LR: 4.67e-04 | Train Loss: 1.2277 | Train Acc: 90.66% | Val Acc: 85.33%
Ep 219| LR: 4.63e-04 | Train Loss: 1.2779 | Train Acc: 89.45% | Val Acc: 85.45%
Ep 220| LR: 4.59e-04 | Train Loss: 1.2737 | Train Acc: 88.53% | Val Acc: 85.49%
Ep 221| LR: 4.55e-04 | Train Loss: 1.2720 | Train Acc: 89.49% | Val Acc: 84.80%
Ep 222| LR: 4.50e-04 | Train Loss: 1.2735 | Train Acc: 89.93% | Val Acc: 85.03%
Ep 223| LR: 4.46e-04 | Train Loss: 1.2646 | Train Acc: 89.25% | Val Acc: 85.77%
Ep 224| LR: 4.42e-04 | Train Loss: 1.2837 | Train Acc: 89.06% | Val Acc: 85.69%
Ep 225| LR: 4.38e-04 | Train Loss: 1.2880 | Train Acc: 88.66% | Val Acc: 85.84%
Ep 226| LR: 4.34e-04 | Train Loss: 1.2202 | Train Acc: 90.54% | Val Acc: 85.54%
Ep 227| LR: 4.30e-04 | Train Loss: 1.2539 | Train Acc: 89.36% | Val Acc: 85.33%
Ep 228| LR: 4.26e-04 | Train Loss: 1.2425 | Train Acc: 90.28% | Val Acc: 84.41%
Ep 229| LR: 4.22e-04 | Train Loss: 1.2183 | Train Acc: 90.46% | Val Acc: 85.42%
Ep 230| LR: 4.18e-04 | Train Loss: 1.2211 | Train Acc: 90.61% | Val Acc: 85.99%
Ep 231| LR: 4.14e-04 | Train Loss: 1.3591 | Train Acc: 86.41% | Val Acc: 84.83%
Ep 232| LR: 4.10e-04 | Train Loss: 1.2620 | Train Acc: 89.58% | Val Acc: 85.84%
Ep 233| LR: 4.05e-04 | Train Loss: 1.2179 | Train Acc: 89.91% | Val Acc: 84.99%
Ep 234| LR: 4.01e-04 | Train Loss: 1.3018 | Train Acc: 88.17% | Val Acc: 85.94%
Ep 235| LR: 3.97e-04 | Train Loss: 1.2495 | Train Acc: 89.51% | Val Acc: 84.66%
Ep 236| LR: 3.93e-04 | Train Loss: 1.2318 | Train Acc: 90.28% | Val Acc: 85.69%
Ep 237| LR: 3.89e-04 | Train Loss: 1.2410 | Train Acc: 89.95% | Val Acc: 85.31%
Ep 238| LR: 3.85e-04 | Train Loss: 1.2610 | Train Acc: 90.16% | Val Acc: 85.04%
Ep 239| LR: 3.81e-04 | Train Loss: 1.2734 | Train Acc: 89.51% | Val Acc: 85.77%
Ep 240| LR: 3.77e-04 | Train Loss: 1.3076 | Train Acc: 87.68% | Val Acc: 86.03%
Ep 241| LR: 3.73e-04 | Train Loss: 1.2051 | Train Acc: 90.76% | Val Acc: 85.58%
Ep 242| LR: 3.69e-04 | Train Loss: 1.2525 | Train Acc: 90.26% | Val Acc: 85.64%
Ep 243| LR: 3.65e-04 | Train Loss: 1.2623 | Train Acc: 89.68% | Val Acc: 85.25%
Ep 244| LR: 3.61e-04 | Train Loss: 1.2063 | Train Acc: 91.07% | Val Acc: 85.64%
Ep 245| LR: 3.57e-04 | Train Loss: 1.2980 | Train Acc: 88.59% | Val Acc: 86.16%
Ep 246| LR: 3.53e-04 | Train Loss: 1.2010 | Train Acc: 91.35% | Val Acc: 85.61%
