epoch,train_loss,val_loss,train_acc,val_acc,precision_macro,recall_macro,f1_macro,top5_acc
241,1.205071,1.171842,90.76,85.58,0.8554,0.8558,0.8538,97.95
242,1.252530,1.185743,90.26,85.64,0.8583,0.8564,0.8552,97.65
243,1.262284,1.192786,89.68,85.25,0.8556,0.8525,0.8516,97.45
244,1.206309,1.179045,91.07,85.64,0.8562,0.8564,0.8532,97.49
245,1.297996,1.170130,88.59,86.16,0.8620,0.8616,0.8591,97.76
246,1.201022,1.186419,91.35,85.61,0.8590,0.8561,0.8531,97.59
247,1.281692,1.188802,88.47,85.52,0.8576,0.8552,0.8546,97.76
248,1.291730,1.183600,89.31,85.52,0.8553,0.8552,0.8529,97.40
249,1.268316,1.244577,89.17,84.36,0.8470,0.8436,0.8416,97.57
250,1.225588,1.172268,90.37,86.09,0.8628,0.8609,0.8588,97.72
251,1.316329,1.175757,88.59,86.04,0.8598,0.8604,0.8579,97.50
252,1.223129,1.193027,89.91,86.14,0.8620,0.8614,0.8594,97.63
253,1.209852,1.187080,90.87,85.37,0.8553,0.8537,0.8516,97.39
254,1.209637,1.176795,90.71,85.53,0.8560,0.8553,0.8515,97.49
255,1.219639,1.175295,91.24,85.91,0.8597,0.8591,0.8570,97.52
256,1.205803,1.229134,90.57,85.50,0.8567,0.8551,0.8524,97.32
257,1.199943,1.198234,91.34,85.42,0.8554,0.8542,0.8526,97.37
258,1.289495,1.218930,88.48,85.45,0.8570,0.8546,0.8523,97.23
259,1.217512,1.176850,90.58,86.05,0.8594,0.8605,0.8573,97.61
260,1.224376,1.180065,91.02,85.65,0.8574,0.8565,0.8548,97.60
261,1.194468,1.190118,91.69,85.65,0.8561,0.8565,0.8528,97.32
262,1.180445,1.187752,90.90,85.50,0.8544,0.8551,0.8526,97.55
263,1.234601,1.169490,90.20,86.54,0.8666,0.8654,0.8639,97.73
264,1.179433,1.182454,91.70,85.77,0.8587,0.8577,0.8549,97.54
265,1.296338,1.196564,87.74,85.75,0.8600,0.8575,0.8557,97.16
266,1.218138,1.204450,91.00,85.56,0.8554,0.8557,0.8527,97.39
267,1.169201,1.194487,92.43,85.35,0.8533,0.8535,0.8507,97.39
268,1.167481,1.186827,92.55,85.98,0.8615,0.8598,0.8570,97.31
269,1.222872,1.182210,90.72,85.91,0.8593,0.8591,0.8561,97.48
270,1.226171,1.163667,90.14,86.05,0.8612,0.8605,0.8579,97.70
271,1.224208,1.195846,89.50,85.47,0.8569,0.8547,0.8532,97.56
272,1.245948,1.171132,88.99,86.20,0.8620,0.8620,0.8594,97.57
273,1.212133,1.176134,90.85,85.77,0.8574,0.8578,0.8551,97.63
274,1.198972,1.182859,90.60,85.72,0.8598,0.8572,0.8546,97.52
275,1.201286,1.193176,91.15,86.22,0.8633,0.8622,0.8607,97.48
276,1.195469,1.179345,90.22,86.14,0.8624,0.8614,0.8585,97.48
277,1.244705,1.192942,89.60,86.21,0.8626,0.8621,0.8597,97.72
278,1.216686,1.174936,90.39,86.39,0.8658,0.8639,0.8621,97.79
279,1.162820,1.172356,91.24,85.99,0.8605,0.8599,0.8578,97.45
280,1.192131,1.172259,91.47,86.06,0.8599,0.8607,0.8574,97.54
281,1.170977,1.150385,92.10,87.15,0.8721,0.8715,0.8700,97.79
282,1.218331,1.182305,91.35,86.48,0.8664,0.8648,0.8634,97.63
283,1.221895,1.181057,90.61,86.09,0.8604,0.8609,0.8587,97.79
284,1.174425,1.187392,91.79,85.95,0.8587,0.8596,0.8568,97.63
285,1.186737,1.188547,91.97,85.92,0.8612,0.8592,0.8563,97.38
286,1.127282,1.166541,92.58,86.39,0.8639,0.8639,0.8617,97.73
287,1.209614,1.164490,90.83,86.55,0.8664,0.8656,0.8641,97.67
288,1.269683,1.173361,88.78,86.19,0.8631,0.8619,0.8592,97.78
289,1.213117,1.191711,90.75,86.39,0.8650,0.8640,0.8623,97.34
290,1.209775,1.163211,90.18,86.17,0.8643,0.8618,0.8601,97.70
291,1.215390,1.198444,90.08,86.30,0.8632,0.8630,0.8605,97.37
292,1.170203,1.163862,91.27,86.55,0.8664,0.8655,0.8633,97.63
293,1.272144,1.185352,89.00,86.30,0.8638,0.8630,0.8612,97.44
294,1.238231,1.159105,90.19,86.64,0.8673,0.8664,0.8645,97.92
295,1.119129,1.170830,93.49,86.26,0.8646,0.8626,0.8609,97.55
296,1.159217,1.177473,91.83,86.73,0.8681,0.8674,0.8655,97.76
297,1.206350,1.154974,89.67,87.15,0.8719,0.8715,0.8694,97.51
298,1.230945,1.175359,89.54,86.63,0.8665,0.8663,0.8636,97.60
299,1.198143,1.154752,90.98,86.83,0.8688,0.8683,0.8659,97.84
300,1.259581,1.205553,89.52,86.14,0.8629,0.8614,0.8593,97.71
301,1.219357,1.205167,90.54,86.39,0.8652,0.8640,0.8612,97.61
302,1.184137,1.178893,91.56,86.34,0.8643,0.8635,0.8616,97.50
303,1.182982,1.158686,92.71,86.89,0.8698,0.8690,0.8672,97.70
304,1.184095,1.161795,91.37,86.65,0.8665,0.8665,0.8643,97.68
305,1.184741,1.189638,91.72,86.65,0.8677,0.8665,0.8644,97.66
306,1.212085,1.171348,90.71,86.55,0.8671,0.8655,0.8637,97.66
307,1.235611,1.156837,90.28,86.75,0.8666,0.8675,0.8652,97.72
308,1.225700,1.169088,90.51,86.60,0.8662,0.8660,0.8637,97.66
309,1.186643,1.162305,91.11,86.58,0.8666,0.8658,0.8644,97.59
310,1.181516,1.165132,91.26,86.73,0.8686,0.8674,0.8651,97.55
311,1.149419,1.180125,92.39,86.72,0.8688,0.8672,0.8651,97.60
312,1.174072,1.174639,91.95,86.55,0.8675,0.8655,0.8632,97.77
313,1.137072,1.168438,92.22,86.71,0.8678,0.8671,0.8643,97.56
314,1.166178,1.163110,91.34,86.61,0.8671,0.8662,0.8643,97.44
315,1.191277,1.157613,91.40,87.00,0.8707,0.8700,0.8678,97.82
316,1.192729,1.189452,90.74,86.52,0.8659,0.8652,0.8630,97.54
317,1.146635,1.166069,92.44,86.69,0.8667,0.8669,0.8647,97.59
318,1.123106,1.163579,92.61,86.99,0.8704,0.8699,0.8679,97.42
319,1.205304,1.155715,90.26,86.97,0.8706,0.8697,0.8682,97.71
320,1.197643,1.184949,90.99,86.43,0.8648,0.8643,0.8620,97.60
321,1.183210,1.166299,90.25,86.53,0.8650,0.8653,0.8628,97.68
322,1.204525,1.180720,91.29,86.52,0.8663,0.8652,0.8631,97.42
323,1.163498,1.169256,91.73,86.81,0.8685,0.8681,0.8666,97.70
324,1.155279,1.167879,92.03,86.87,0.8693,0.8687,0.8665,97.62
325,1.203434,1.193494,91.24,86.39,0.8659,0.8640,0.8613,97.49
326,1.158952,1.162551,91.73,86.39,0.8641,0.8640,0.8618,97.65
327,1.127275,1.155600,93.33,86.72,0.8667,0.8673,0.8648,97.78
328,1.174124,1.174895,91.92,86.60,0.8665,0.8660,0.8638,97.60
329,1.167744,1.157577,92.09,86.64,0.8675,0.8664,0.8641,97.78
330,1.181178,1.161890,90.87,86.75,0.8683,0.8675,0.8656,97.70
331,1.195955,1.190243,89.91,86.48,0.8668,0.8648,0.8626,97.50
332,1.181290,1.155009,91.68,86.92,0.8691,0.8692,0.8669,97.63
333,1.166893,1.158409,91.79,86.80,0.8675,0.8680,0.8657,97.81
334,1.140037,1.159992,92.85,86.73,0.8676,0.8674,0.8654,97.66
335,1.146833,1.170340,92.10,86.59,0.8661,0.8659,0.8635,97.62
336,1.134447,1.174343,92.50,86.64,0.8684,0.8664,0.8638,97.56
337,1.223140,1.151751,90.46,86.78,0.8683,0.8678,0.8655,97.67
338,1.116802,1.157164,93.10,86.63,0.8664,0.8663,0.8644,97.82
339,1.178551,1.170651,91.38,86.61,0.8680,0.8661,0.8636,97.61
340,1.180966,1.152984,91.85,86.93,0.8687,0.8693,0.8672,97.62
341,1.177420,1.157756,91.65,86.81,0.8673,0.8681,0.8657,97.57
342,1.199978,1.161889,91.30,86.64,0.8669,0.8664,0.8643,97.61
343,1.206842,1.172507,91.29,86.72,0.8672,0.8672,0.8649,97.54
344,1.161160,1.158258,92.14,87.15,0.8710,0.8715,0.8698,97.66
345,1.173056,1.185823,92.17,86.64,0.8659,0.8664,0.8644,97.55
346,1.193249,1.163408,90.99,86.60,0.8655,0.8660,0.8634,97.59
347,1.089630,1.175269,92.94,86.70,0.8657,0.8670,0.8643,97.43
348,1.169421,1.169332,91.97,86.41,0.8652,0.8641,0.8618,97.46
349,1.136091,1.158129,92.47,87.09,0.8697,0.8709,0.8685,97.68
350,1.185875,1.166874,91.79,86.87,0.8693,0.8687,0.8664,97.63
351,1.144506,1.164779,92.07,86.69,0.8677,0.8669,0.8644,97.66
352,1.173100,1.150100,91.90,86.86,0.8685,0.8686,0.8663,97.67
353,1.174218,1.175093,91.48,86.91,0.8690,0.8691,0.8670,97.49
354,1.125450,1.165454,93.75,86.94,0.8701,0.8694,0.8674,97.72
